municipality	alphaRest
CO05001	0.005510204081632653
CO05045	0.003673469387755102
CO05051	0.003673469387755102
CO05079	0.003673469387755102
CO05088	0.003673469387755102
CO05120	0.003673469387755102
CO05147	0.003673469387755102
CO05154	0.003673469387755102
CO05172	0.003061224489795918
CO05212	0.005510204081632653
CO05250	0.005510204081632653
CO05308	0.004897959183673469
CO05360	0.003061224489795918
CO05490	0.003673469387755102
CO05579	0.004285714285714285
CO05665	0.004897959183673469
CO05736	0.006122448979591836
CO05790	0.004285714285714285
CO05837	0.003061224489795918
CO05895	0.003673469387755102
CO08001	0.003673469387755102
CO08078	0.004285714285714285
CO08296	0.005510204081632653
CO08433	0.003673469387755102
CO08573	0.003673469387755102
CO08638	0.004285714285714285
CO08758	0.003061224489795918
CO13052	0.004285714285714285
CO13244	0.004285714285714285
CO13430	0.003673469387755102
CO13468	0.004897959183673469
CO13657	0.02387755102040816
CO13670	0.003673469387755102
CO13688	0.006122448979591836
CO13836	0.003673469387755102
CO15572	0.004897959183673469
CO17042	0.004285714285714285
CO17174	0.005510204081632653
CO17380	0.004285714285714285
CO18001	0.004285714285714285
CO18150	0.004285714285714285
CO18592	0.003673469387755102
CO18753	0.006122448979591836
CO19212	0.004285714285714285
CO19455	0.004285714285714285
CO19573	0.004897959183673469
CO19698	0.004285714285714285
CO20001	0.004285714285714285
CO20011	0.004897959183673469
CO20013	0.00673469387755102
CO20060	0.004897959183673469
CO20175	0.00673469387755102
CO23001	0.004285714285714285
CO23068	0.004897959183673469
CO23162	0.003673469387755102
CO23182	0.003673469387755102
CO23189	0.003673469387755102
CO23417	0.003673469387755102
CO23466	0.004285714285714285
CO23555	0.004897959183673469
CO23570	0.005510204081632653
CO23580	0.003673469387755102
CO23660	0.003673469387755102
CO23670	0.003673469387755102
CO23672	0.003673469387755102
CO23678	0.003673469387755102
CO23686	0.004285714285714285
CO23807	0.003061224489795918
CO23815	0.004285714285714285
CO23855	0.005510204081632653
CO25290	0.007959183673469388
CO25307	0.007959183673469388
CO25320	0.012857142857142857
CO25386	0.022040816326530613
CO27001	0.003673469387755102
CO41001	0.004897959183673469
CO41132	0.005510204081632653
CO41298	0.007959183673469388
CO41306	0.004285714285714285
CO41396	0.007959183673469388
CO41524	0.014081632653061223
CO41551	0.006122448979591836
CO41668	0.02020408163265306
CO44001	0.003061224489795918
CO44035	0.003673469387755102
CO44078	0.005510204081632653
CO44090	0.003673469387755102
CO44279	0.004285714285714285
CO44430	0.003061224489795918
CO44560	0.003061224489795918
CO44650	0.004897959183673469
CO44847	0.003061224489795918
CO47001	0.003673469387755102
CO47053	0.007346938775510204
CO47189	0.003673469387755102
CO47245	0.003673469387755102
CO47288	0.004897959183673469
CO47555	0.004285714285714285
CO47980	0.003673469387755102
CO50001	0.005510204081632653
CO50006	0.011632653061224489
CO50313	0.015306122448979591
CO50350	0.004897959183673469
CO50573	0.03
CO54003	0.006122448979591836
CO54405	0.006122448979591836
CO54498	0.004897959183673469
CO54810	0.00673469387755102
CO54874	0.004897959183673469
CO63001	0.020816326530612245
CO63130	0.00857142857142857
CO63190	0.006122448979591836
CO63401	0.006122448979591836
CO63470	0.007346938775510204
CO63594	0.007346938775510204
CO66001	0.02142857142857143
CO66170	0.02142857142857143
CO66400	0.006122448979591836
CO66682	0.004285714285714285
CO68001	0.005510204081632653
CO68081	0.004897959183673469
CO68190	0.004897959183673469
CO68276	0.006122448979591836
CO68307	0.004897959183673469
CO68406	0.005510204081632653
CO68547	0.006122448979591836
CO68575	0.004285714285714285
CO68679	0.022653061224489793
CO68689	0.004897959183673469
CO68755	0.03
CO70001	0.00673469387755102
CO70215	0.005510204081632653
CO70429	0.004285714285714285
CO70670	0.005510204081632653
CO70708	0.004897959183673469
CO70713	0.003673469387755102
CO73001	0.018979591836734692
CO73168	0.00857142857142857
CO73268	0.006122448979591836
CO73283	0.011632653061224489
CO73319	0.01714285714285714
CO73411	0.00673469387755102
CO73449	0.024489795918367346
CO73504	0.009183673469387754
CO73555	0.006122448979591836
CO76001	0.006122448979591836
CO76147	0.006122448979591836
CO76233	0.005510204081632653
CO76248	0.004897959183673469
CO76275	0.009795918367346938
CO76318	0.005510204081632653
CO76364	0.003673469387755102
CO76520	0.004897959183673469
CO76563	0.004285714285714285
CO76622	0.009183673469387754
CO76736	0.003673469387755102
CO76834	0.004285714285714285
CO76892	0.003673469387755102
CO76895	0.006122448979591836
CO81001	0.009795918367346938
CO81065	0.007346938775510204
CO81736	0.00857142857142857
CO81794	0.004285714285714285
CO85001	0.015918367346938776
CO85010	0.028163265306122447
CO86001	0.006122448979591836
CO86320	0.017755102040816324
CO86568	0.00857142857142857
CO86865	0.015306122448979591
CO91001	0.029387755102040815
CO95001	0.007346938775510204
CO97001	0.012857142857142857
CO99773	0.00673469387755102
