var1	var2	effect	sobol	ci	n
alphaRest	alphaRest	Total Effects	0.582248349784382	0.0023090703195456303	9437184
alphaAmp	alphaAmp	Total Effects	0.05924778955978789	0.0004141531720768568	9437184
alphaShift	alphaShift	Total Effects	0.1387834629755875	0.0007960866617798035	9437184
infTicksCount	infTicksCount	Total Effects	0.0005433298109074324	3.868529807172482e-06	9437184
avgVisitsCount	avgVisitsCount	Total Effects	0.29505284210969185	0.0012950544129880772	9437184
pVisits	pVisits	Total Effects	0.0017368918238511164	7.626428850839461e-06	9437184
propSocialVisits	propSocialVisits	Total Effects	0.030266256324600106	0.0002078222799991738	9437184
locPerSGCount	locPerSGCount	Total Effects	0.004458950413859365	4.386159651269166e-05	9437184
alphaRest	alphaRest	First Order	0.532733860753467	0.003053353469184601	9437184
alphaAmp	alphaAmp	First Order	0.0004173547177419851	0.0009097527584247776	9437184
alphaShift	alphaShift	First Order	0.0907878536572897	0.0014408958835130303	9437184
infTicksCount	infTicksCount	First Order	8.881208104530914e-05	8.956194988598113e-05	9437184
avgVisitsCount	avgVisitsCount	First Order	0.2662470021788668	0.001956592463965144	9437184
pVisits	pVisits	First Order	0.0015100706523201754	0.0001621605496938285	9437184
propSocialVisits	propSocialVisits	First Order	0.022263404236402162	0.000591360588195538	9437184
locPerSGCount	locPerSGCount	First Order	0.0016760882610516036	0.00027870849377394666	9437184
alphaRest	alphaAmp	Second Order	0.014118207179765724	0.00442434108046683	9437184
alphaRest	alphaShift	Second Order	0.004724666086630913	0.004583073166750167	9437184
alphaRest	infTicksCount	Second Order	0.00017957037570711596	0.004266698648905745	9437184
alphaRest	avgVisitsCount	Second Order	0.007280438235858611	0.004881634242697587	9437184
alphaRest	pVisits	Second Order	0.00012637431388612093	0.0042511749814589375	9437184
alphaRest	propSocialVisits	Second Order	0.0023339707907507057	0.004201436301050804	9437184
alphaRest	locPerSGCount	Second Order	1.4382566072653879e-05	0.0042568189159856796	9437184
alphaAmp	alphaShift	Second Order	0.022999817570832026	0.0013344774785500428	9437184
alphaAmp	infTicksCount	Second Order	-3.985425754935908e-05	0.001355557011811071	9437184
alphaAmp	avgVisitsCount	Second Order	0.005457621800153356	0.0012476757454850588	9437184
alphaAmp	pVisits	Second Order	-4.8441143164879887e-05	0.0013553974340548196	9437184
alphaAmp	propSocialVisits	Second Order	7.26326145801641e-05	0.0013533497656751897	9437184
alphaAmp	locPerSGCount	Second Order	-6.398287453412152e-05	0.001374505303475205	9437184
alphaShift	infTicksCount	Second Order	-1.0928918475947575e-05	0.001968015762502899	9437184
alphaShift	avgVisitsCount	Second Order	0.0003524303850682142	0.002016867907117581	9437184
alphaShift	pVisits	Second Order	-5.192160503400848e-05	0.0019634853376716967	9437184
alphaShift	propSocialVisits	Second Order	0.0002632997685882571	0.0019719005674050413	9437184
alphaShift	locPerSGCount	Second Order	-2.3144502604211404e-05	0.0019755555062117183	9437184
infTicksCount	avgVisitsCount	Second Order	0.00011836359228739601	0.00013697385306953957	9437184
infTicksCount	pVisits	Second Order	4.348795702161651e-06	0.0001372954094739829	9437184
infTicksCount	propSocialVisits	Second Order	7.3466222160895045e-06	0.0001356541146681738	9437184
infTicksCount	locPerSGCount	Second Order	4.2242924162194315e-06	0.00013815493490987739	9437184
avgVisitsCount	pVisits	Second Order	5.327831578593985e-05	0.002641233328408356	9437184
avgVisitsCount	propSocialVisits	Second Order	3.2058052907790735e-05	0.002705804191316229	9437184
avgVisitsCount	locPerSGCount	Second Order	1.0796325163694564e-05	0.0026708700721974374	9437184
pVisits	propSocialVisits	Second Order	7.574304610170196e-06	0.00023091427954961968	9437184
pVisits	locPerSGCount	Second Order	9.797087584432086e-06	0.0002330675555727331	9437184
propSocialVisits	locPerSGCount	Second Order	0.0021410139242004247	0.0007793657146648044	9437184
